形式	資料	識別子	資料名	URL	チェック
HTML	アイヌ語アーカイブ	C0044	織田ステノさんの民話(ｱ) 神の山の大カジカ（1981）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0044	未了
HTML	アイヌ語アーカイブ	C0045	民話(ｱ)夜襲から女たちを救った子グマの神（1981）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0045	未了
HTML	アイヌ語アーカイブ	C0046	織田ステノさんのユーカﾗ(ｱ) 兄を助けて沖の神と戦う（1981）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0046	未了
HTML	アイヌ語アーカイブ	C0047	織田ステノさんの民話(ｱ) ペナウンペの釣りざお（1981）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0047	未了
HTML	アイヌ語アーカイブ	C0048	民話(ｱ)魔鳥の横恋慕（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0048	未了
HTML	アイヌ語アーカイブ	C0049	織田ステノさんの民話(ｱ) アイヌにタモギタケを授けた蛇神（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0049	未了
HTML	アイヌ語アーカイブ	C0050	織田ステノさんのユーカﾗ語り(ｱ) 兄を助けて沖の神と戦う（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0050	未了
HTML	アイヌ語アーカイブ	C0051	民話(ｱ)山で拾った男の子（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0051	未了
HTML	アイヌ語アーカイブ	C0052	織田ステノさんの民話(ｱ) お姫様のいれずみ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0052	未了
HTML	アイヌ語アーカイブ	C0053	織田ステノさんの民話(ｱ) アチカラテスとハラテス（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0053	未了
HTML	アイヌ語アーカイブ	C0054	織田ステノさんの神謡語り(ｱ) カニ神の艶笑譚(ヨイヤセ)（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0054	未了
HTML	アイヌ語アーカイブ	C0055	神謡語り(ｱ)神の娘に恋をした（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0055	未了
HTML	アイヌ語アーカイブ	C0056	神謡(ｱ)神の娘に恋をした（エイノ）（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0056	未了
HTML	アイヌ語アーカイブ	C0057	織田ステノさんの民話(ｱ) イペッの上流の村長の息子と醜女の縁談（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0057	未了
HTML	アイヌ語アーカイブ	C0058	織田ステノさんの民話(ｱ) 人が行方不明になる村を救ったイクレスイェ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0058	未了
HTML	アイヌ語アーカイブ	C0059	織田ステノさんのユーカﾗ(ｱ) ポイヤウンペとスマメノコ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0059	未了
